conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1984300546228953590,2025-11-01 17:07:22+00:00,1,@EraMega3 @everynay6 Masalah baru food waste dan ini bakal terus akan meningkat jika regulasinya tidak ada evaluasi yang ketat. Melihat untuk berhenti nih MBG sangat kecil kemungkinannya,1984668603074158666,,EraMega3,in,,0,1,0,https://x.com/undefined/status/1984668603074158666,1714785086879703040,
1984668327009272043,2025-11-01 17:08:05+00:00,0,atp dapur dapur mbg ini juga enabler keracunan dan ignorant udah banyak yang ga lolos qc tapi masih maksain buat masak,1984668782611349653,,meongcapek,in,,0,0,0,https://x.com/undefined/status/1984668782611349653,1476613321839181826,
1984300546228953590,2025-11-01 17:09:52+00:00,0,@chocolaboss @EraMega3 @everynay6 Tetanggaku dia SMP dia yang baru dapat bulan ini aja dia takut buat makan MBG karena takut keracunan. Bisa tuh dibayangkan kalo teman2 nya juga ada yg gitu berapa makanan yang bakal jadi sisa.,1984669231892578558,,chocolaboss,in,,0,1,0,https://x.com/undefined/status/1984669231892578558,1714785086879703040,
1984488571840111032,2025-11-01 17:10:21+00:00,0,@txtdrimedia stop lah mbg mbg ini program gila,1984669349949653308,,txtdrimedia,in,,0,0,0,https://x.com/undefined/status/1984669349949653308,1856300292259885056,
1984669838367997966,2025-11-01 17:12:17+00:00,87, MBG adalah bagian dari agenda global. 🇮🇩 bersama 100 negara lain jad anggota SMC dibawah UN. YTTA bahwa agenda global disupport penuh oleh UN dan Rockefeller Foundation. Kenapa ada yayasan zionis dibelakang nya? https://t.co/HjOOdxHtfe,1984669838367997966,https://pbs.twimg.com/ext_tw_video_thumb/1984669600941019136/pu/img/EwfNW6klvHSHju9w.jpg,,in,,1,13,59,https://x.com/undefined/status/1984669838367997966,1254035776322453506,
1984513122380759349,2025-11-01 17:13:42+00:00,5,@gladys_alexaaa Klo terbukti jelas ada org model gitu di sircle-ku (bukan sekadar prasangka ya!) InsyaAllah bakal nanya sih ke diri sendiri Apakah aku pernah gitu juga ke orang lain? Mungkin tanpa kusadari. === Ni bkn ttg BPJS ato drama MBG yg #GakHabisHabis Ni ttg topeng-topeng Helloween https://t.co/9YENepXdMz,1984670194258887115,https://pbs.twimg.com/tweet_video_thumb/G4r3BLWboAAAvOC.jpg,gladys_alexaaa,in,,0,0,0,https://x.com/undefined/status/1984670194258887115,1666611974720086017,
1984670812293726340,2025-11-01 17:16:09+00:00,0,Izin menjawab as a teacher yang juga pernah nyobain MBG 1. Kebanyakan MBG yang tidak dihabiskan adalah karena makanannya sudah hampir tidak layak. Tahu asem sayur bau nasi ada serangganya dsb 2. Walaupun ketika di sekolah makanannya masih layak makan -c,1984670812293726340,,,in,,0,2,0,https://x.com/undefined/status/1984670812293726340,1331066271908052992,
1984480518801428866,2025-11-01 17:17:29+00:00,0,@KompasTV Bom waktu MBG. Multiplayer effect nya dominan negatif. Jalan tanpa regulasi kajian SOP dan pengawasan. Malah diduga ada yayasan yg memainkan proyek demi cuan. Kejahatan negara thd rakyatnya menyebabkan keracunan massal.,1984671147200508339,,KompasTV,in,,0,0,0,https://x.com/undefined/status/1984671147200508339,1327781661723959296,
1983513212038644054,2025-11-01 17:18:18+00:00,0,@namtacha @fluffy_shi @cucijemurpake betul rasanya kurang tepat memang kalau sekolah swasta bagus mendapat MBG. saya setuju baiknya MBG ini untuk sekolah yang lebih membutuhkan. Mohon maaf untuk research mengenai picky eaternya mana ya kak? saya ingin belajar mengenai hal tsb.,1984671352926933451,,namtacha,in,,0,0,0,https://x.com/undefined/status/1984671352926933451,390711130,
1984669988347867533,2025-11-01 17:19:04+00:00,0,@gistamadea HIX GBS AKTIF LAGI AKU sibuk ngaduk MBG,1984671545198067856,,gistamadea,in,,0,1,0,https://x.com/undefined/status/1984671545198067856,1358702085089292288,
